ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s
45793,SN 2019rhx,20:21:29.230,+59:44:26.41,SN Ia,0.025414,CGCG 304-003,0.025414,"ALeRCE, GaiaAlerts","ZTF, GaiaAlerts",ZTF,ALeRCE; GaiaAlerts,ZTF19acazaug,"Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.4335,r-ZTF,2019-09-28 03:44:49.000,ALeRCE,,
45792,SN 2019rhw,18:08:09.137,+51:41:10.89,SN Ia,0.09,GALEXASC J180809.14+514113.1,,"ALeRCE, ZTF, Pan-STARRS1","ZTF, Pan-STARRS1",ZTF,ALeRCE; Pan-STARRS1; ZTF,ZTF19acbiwjk,"P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,20.1015,r-ZTF,2019-09-28 03:40:04.000,ALeRCE,,
45782,SN 2019rhm,20:41:30.207,+13:04:23.23,SN Ia,0.0326,,,ZTF,ZTF,ZTF,ZTF,ZTF19acbkczc,P48 - ZTF-Cam,P60 - SEDM,1,1,,17.87,r-ZTF,2019-09-28 04:59:26.000,ZTF_AMPEL_NEW,,
45779,SN 2019rhj,23:46:16.039,+18:11:36.55,SN Ia,0.037,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19acaxcwg,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,18.53,r-ZTF,2019-09-28 04:07:54.000,ZTF_AMPEL_NEW,,
45498,SN 2019qwp,01:57:02.456,+07:17:31.16,SN Ia,0.075,,,ZTF,ZTF,ZTF,ZTF,ZTF19acaotrk,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.17,r-ZTF,2019-09-25 07:34:52.000,ZTF_AMPEL_NEW,,
45491,SN 2019qwi,23:38:54.104,+38:11:38.51,SN Ia,0.054,,,"ZTF, Pan-STARRS1","ZTF, Pan-STARRS1",ZTF,Pan-STARRS1; ZTF,ZTF19abzulhk,"P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,20.37,g-ZTF,2019-09-22 04:51:33.000,ZTF_AMPEL_NEW,,
45481,SN 2019qvy,07:22:11.789,+52:11:53.99,SN Ia,0.041,,,ZTF,ZTF,ZTF,ZTF,ZTF19abzzhsa,P48 - ZTF-Cam,,1,1,,19.33,r-ZTF,2019-09-21 11:09:03.000,ZTF_AMPEL_NEW,,
45462,SN 2019qvf,15:58:36.430,+44:54:07.42,SN Ia,0.047,SDSS J155836.64+445407.4,0.091,"ALeRCE, GaiaAlerts, ATLAS, ZTF","ZTF, GaiaAlerts, ATLAS",ZTF,ALeRCE; ATLAS; GaiaAlerts; ZTF,ZTF19acaqyjp,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.8185,g-ZTF,2019-09-24 03:27:09.000,ALeRCE,,
45442,SN 2019qul,23:45:54.414,-08:29:19.21,SN Ia,0.07,,,"ZTF, Pan-STARRS1","ZTF, Pan-STARRS1",ZTF,Pan-STARRS1; ZTF,ZTF19abzsjpn,"P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.21,g-ZTF,2019-09-20 09:05:45.000,ZTF_Bot1,,
45437,SN 2019qug,23:16:49.504,-20:28:35.70,SN Ia,0.091,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abzyiba,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.37,r-ZTF,2019-09-21 09:48:34.000,ZTF_AMPEL_NEW,,
