ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s
44857,SN 2019pyd,02:06:02.901,+30:36:27.24,SN Ia,0.083,,,ZTF,ZTF,ZTF,ZTF,ZTF19abwsxug,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.7,r-ZTF,2019-09-07 09:48:00.000,ZTF_AMPEL_NEW,,
44831,SN 2019pxd,22:58:55.325,+40:55:57.64,SN Ia,0.016992,UGC 12282,0.017129,"ALeRCE, ZTF, Pan-STARRS1","ZTF, Pan-STARRS1",ZTF,ALeRCE; Pan-STARRS1; ZTF,ZTF19abyikbv,"P48 - ZTF-Cam, PS1 - GPC1",LT - SPRAT,1,1,,18.8704,g-ZTF,2019-09-10 10:45:43.000,ALeRCE,,
44776,SN 2019pva,02:15:14.813,-12:09:52.14,SN Ia,0.09,SDSS J021514.76-120953.4,0.091,"ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ALeRCE; ATLAS; Pan-STARRS1; ZTF,ZTF19abycslo,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,20.0033,g-ZTF,2019-09-09 10:03:16.000,ALeRCE,,
44754,SN 2019pue,23:32:49.287,-16:47:15.47,SN Ia,0.1,,,ZTF,ZTF,ZTF,ZTF,ZTF19abwsdic,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.14,g-ZTF,2019-09-06 09:06:13.000,ZTF_AMPEL_COMPLETE,,
44745,SN 2019ptv,20:01:09.513,+50:51:36.34,SN Ia,0.038,,,ZTF,ZTF,ZTF,ZTF,ZTF19abxfunp,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.61,r-ZTF,2019-09-06 06:15:50.000,ZTF_TESS,,
44694,SN 2019prw,18:30:20.204,+50:44:47.33,SN Ia,0.047429,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abxfhrq,"ATLAS1 - ACAM1, P48 - ZTF-Cam",LT - SPRAT,1,1,,19.85,g-ZTF,2019-09-07 07:22:35.000,ZTF_AMPEL_NEW,,
44692,SN 2019pru,15:58:19.583,+46:55:40.84,SN Ia,0.044,,,"ZTF, ATLAS","ZTF, ATLAS","ZTF, None",ATLAS; ZTF,ZTF19abxdnzt,"ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT, P60 - SEDM",1,1,,18.48,r-ZTF,2019-09-08 03:18:11.000,ZTF_AMPEL_NEW,,
44691,SN 2019prt,17:09:45.510,+31:44:21.12,SN Ia,0.054,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19abxdnhr,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.05,r-ZTF,2019-09-08 03:26:52.000,ZTF_AMPEL_NEW,,
44659,SN 2019pqn,16:04:03.873,+18:28:18.27,SN Ia,0.0371,2MASX J16040389+1828165,0.037151,"ALeRCE, ZTF",ZTF,ZTF,ALeRCE; ZTF,ZTF19abvvpoh,P48 - ZTF-Cam,P200 - DBSP,1,1,,18.1828,r-ZTF,2019-09-07 05:05:53.000,ALeRCE,,
44629,SN 2019ppj,08:49:19.090,+46:22:51.24,SN Ia,0.04,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF19abxvtmy,"Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,17.36,g-ZTF,2019-09-07 11:49:45.000,ZTF_AMPEL_NEW,,
44627,SN 2019pph,08:41:02.310,+49:17:35.02,SN Ia,0.0542,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF19abxvtiy,"Gaia - Gaia-photometric, P48 - ZTF-Cam",LT - SPRAT,1,1,,18.39,g-ZTF,2019-09-07 11:49:45.000,ZTF_AMPEL_NEW,,
44624,SN 2019ppe,04:53:20.820,-16:23:41.42,SN Ia,0.064,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1",ZTF,ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ZTF19abxvles,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",LT - SPRAT,1,1,,18.96,g-ZTF,2019-09-07 11:32:48.000,ZTF_AMPEL_NEW,,
44623,SN 2019ppd,07:39:48.815,+21:58:44.46,SN Ia,0.05,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abxvjzn,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.55,g-ZTF,2019-09-07 11:43:53.000,ZTF_AMPEL_NEW,,
44622,SN 2019ppc,07:53:12.019,+16:36:25.15,SN Ia,0.05418,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abxvjkn,"ATLAS1 - ACAM1, P48 - ZTF-Cam",Lick-3m - KAST,1,1,,18.13,g-ZTF,2019-09-07 11:43:53.000,ZTF_AMPEL_NEW,,
44598,SN 2019poe,00:53:10.474,-21:31:01.07,SN Ia,0.056179,,,ZTF,ZTF,ZTF,ZTF,ZTF19abwscog,P48 - ZTF-Cam,P60 - SEDM,1,1,,18.07,r-ZTF,2019-09-07 09:32:10.000,ZTF_AMPEL_NEW,,
44596,SN 2019poc,23:40:57.925,+17:29:44.81,SN Ia,0.075,,,"ZTF, ATLAS","ZTF, ATLAS","None, ZTF",ATLAS; ZTF,ZTF19abwouqp,"ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT, P60 - SEDM",1,1,,20.03,g-ZTF,2019-09-04 07:53:30.000,ZTF_AMPEL_NEW,,
44593,SN 2019pnz,22:37:56.828,+07:27:37.92,SN Ia,0.05,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abwnpus,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.74,g-ZTF,2019-09-04 07:15:23.000,ZTF_AMPEL_NEW,,
44592,SN 2019pny,17:11:52.906,+72:25:15.96,SN Ia,0.056,,,ZTF,ZTF,ZTF,ZTF,ZTF19abvjcii,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.11,g-ZTF,2019-09-07 07:02:20.000,ZTF_AMPEL_NEW,,
44590,SN 2019pnw,19:49:24.946,+62:31:07.85,SN Ia,0.07,,,ZTF,ZTF,ZTF,ZTF,ZTF19abwaohs,P48 - ZTF-Cam,LT - SPRAT,1,1,,19.81,r-ZTF,2019-09-04 06:29:27.000,ZTF_AMPEL_COMPLETE,,
44576,SN 2019pni,04:53:00.133,+12:41:34.91,SN Ia,0.091,,,ZTF,ZTF,None,ZTF,ZTF19abwvals,P48 - ZTF-Cam,NOT - ALFOSC,1,1,,20.46,g-ZTF,2019-09-04 10:54:20.000,Stein,,
44566,SN 2019pmy,23:01:25.059,-02:48:05.90,SN Ia,0.086,2MASX J22394887-1918022,,"ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ALeRCE; ATLAS; Pan-STARRS1; ZTF,ZTF19abxihut,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.3003,g-ZTF,2019-09-06 09:08:53.000,ALeRCE,,
44564,SN 2019pmw,23:26:05.385,-19:19:03.87,SN Ia,0.09,SDSS J232605.36-191903.3,0.059,"ALeRCE, ZTF",ZTF,ZTF,ALeRCE; ZTF,ZTF19abxigfc,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.8445,g-ZTF,2019-09-06 09:06:12.000,ALeRCE,,
44556,SN 2019pmo,07:20:37.717,+52:46:23.68,SN Ia,0.065,,,ZTF,ZTF,ZTF,ZTF,ZTF19abuzpmr,P48 - ZTF-Cam,LT - SPRAT,1,1,,18.55,g-ZTF,2019-09-06 10:45:01.000,ZTF_AMPEL_COMPLETE,,
44545,SN 2019pmd,03:18:23.800,-01:55:49.66,SN Ia,0.022019,,,"ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ZTF19abwsecm,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",,1,1,,19.95,g-ZTF,2019-08-30 11:05:00.000,ZTF_AMPEL_COMPLETE,,
44538,SN 2019plw,03:05:58.485,-00:19:01.42,SN Ia,0.13,,,"ZTF, ATLAS","ZTF, ATLAS","None, ZTF",ATLAS; ZTF,ZTF19abvgwvp,"ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT, P60 - SEDM",1,1,,20.15,g-ZTF,2019-09-01 11:03:02.000,ZTF_AMPEL_NEW,,
44517,SN 2019plb,19:17:14.860,-16:44:48.52,SN Ia,0.075,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF19abrvagn,"Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.35,g-ZTF,2019-08-28 06:12:57.000,ZTF_Bot1,,
44498,SN 2019pki,01:20:06.975,+35:54:05.33,SN Ia,0.068,,,"ZTF, ATLAS","ZTF, ATLAS","C-SNAILS, ZTF",ATLAS; ZTF,ZTF19abvhkst,"ATLAS1 - ACAM1, P48 - ZTF-Cam",LT - SPRAT,1,1,,20.65,g-ZTF,2019-09-01 10:08:30.000,ZTF_AMPEL_NEW,,
44496,SN 2019pkg,00:46:08.031,+09:08:23.22,SN Ia,0.041,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abqlykl,"ATLAS1 - ACAM1, P48 - ZTF-Cam",LT - SPRAT,1,1,,19.7,r-ZTF,2019-09-04 09:35:21.000,ZTF_AMPEL_NEW,,
44495,SN 2019pkf,01:56:34.810,+39:08:27.22,SN Ia,0.11,,,ZTF,ZTF,ZTF,ZTF,ZTF19abvgnxg,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.69,g-ZTF,2019-09-01 10:36:33.000,ZTF_AMPEL_NEW,,
44492,SN 2019pkd,01:24:09.942,+06:58:17.38,SN Ia,0.07,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19abuxhqc,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,20.01,r-ZTF,2019-08-31 09:05:37.000,ZTF_AMPEL_NEW,,
44490,SN 2019pkc,23:03:11.326,+06:43:59.19,SN Ia,0.096,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abvjdfc,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.47,g-ZTF,2019-09-04 07:59:36.000,ZTF_AMPEL_NEW,,
44488,SN 2019pka,22:35:15.000,+07:00:28.57,SN Ia,0.11,,,ZTF,ZTF,BTDG,ZTF,ZTF19abubagk,P48 - ZTF-Cam,Magellan-Clay - LDSS-3,1,1,,20.51,g-ZTF,2019-08-28 09:58:26.000,ZTF_AMPEL_COMPLETE,,
44487,SN 2019pjz,22:19:18.802,+10:39:56.00,SN Ia,0.08,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19abuazly,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,20.53,g-ZTF,2019-08-28 09:57:48.000,ZTF_AMPEL_COMPLETE,,
44484,SN 2019pjw,22:37:33.132,+41:24:31.21,SN Ia,0.073,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abrcvzz,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.37,g-ZTF,2019-08-30 07:44:11.000,ZTF_AMPEL_NEW,,
44481,SN 2019pjt,17:08:34.923,+51:28:25.90,SN Ia,0.1167,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19abulzlj,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P200 - DBSP,1,1,,19.22,r-ZTF,2019-09-04 06:21:12.000,ZTF_AMPEL_NEW,,
44415,SN 2019phj,06:28:33.530,+56:04:30.90,SN Ia,0.029,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19abvhduf,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.4,g-ZTF,2019-09-01 11:23:23.000,ZTF_AMPEL_NEW,,
44407,SN 2019phb,18:10:05.972,+39:57:48.92,SN Ia,0.096,,,ZTF,ZTF,ZTF,ZTF,ZTF19abtulak,P48 - ZTF-Cam,P60 - SEDM,1,1,,20.29,g-ZTF,2019-08-28 04:12:27.000,ZTF_AMPEL_NEW,,
44406,SN 2019pha,23:49:16.305,-11:06:39.05,SN Ia,0.123,,,ZTF,ZTF,None,ZTF,ZTF19abrilok,P48 - ZTF-Cam,LT - SPRAT,1,1,,19.6,r-ZTF,2019-08-29 09:01:35.000,ZTF_AMPEL_NEW,,
44401,SN 2019pgv,03:46:30.318,+41:58:21.16,SN Ia,0.05,,,ZTF,ZTF,ZTF,ZTF,ZTF19abuclhk,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.88,g-ZTF,2019-08-29 11:18:14.000,ZTF_Bot1,,
44358,SN 2019pff,16:45:49.840,+45:05:10.72,SN Ia,0.05964,SDSS J164548.77+450515.5,0.06,"ALeRCE, ATLAS, ZTF, Pan-STARRS1, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts",ZTF,ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ZTF19abvanim,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",,1,1,,20.1197,r-ZTF,2019-09-01 03:23:47.000,ALeRCE,,
44357,SN 2019pfe,16:03:51.710,+39:59:07.55,SN Ia,0.031442,SDSS J160352.15+395903.9,0.02,"ALeRCE, ZTF, Pan-STARRS1, GaiaAlerts, ATLAS","ZTF, Pan-STARRS1, GaiaAlerts, ATLAS",ZTF,ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ZTF19abvalfd,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P200 - DBSP,1,1,,18.6228,r-ZTF,2019-09-01 03:27:45.000,ALeRCE,,
44264,SN 2019pbp,05:10:41.720,-18:36:26.24,SN Ia,0.05,,,"ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ZTF19abucvgu,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,18.61,g-ZTF,2019-08-31 11:32:14.000,ZTF_AMPEL_NEW,,
44255,SN 2019pbg,01:07:13.978,+05:54:24.71,SN Ia,0.134,,,"ZTF, ATLAS","ZTF, ATLAS",None,ATLAS; ZTF,ZTF19abrcpnj,"ATLAS1 - ACAM1, P48 - ZTF-Cam",LT - SPRAT,1,1,,19.67,r-ZTF,2019-08-25 09:16:17.000,ZTF_AMPEL_COMPLETE,,
44232,SN 2019paj,16:49:58.376,+52:31:29.15,SN Ia,0.083,,,"ZTF, Pan-STARRS1","ZTF, Pan-STARRS1",None,Pan-STARRS1; ZTF,ZTF19abqsvue,"P48 - ZTF-Cam, PS1 - GPC1",LT - SPRAT,1,1,,19.95,g-ZTF,2019-08-31 06:57:04.000,ZTF_AMPEL_COMPLETE,,
44221,SN 2019ozy,23:41:20.431,+11:00:36.11,SN Ia,0.09,,,ZTF,ZTF,C-SNAILS,ZTF,ZTF19abrirdm,P48 - ZTF-Cam,LT - SPRAT,1,1,,20.23,r-ZTF,2019-08-21 09:04:54.000,ZTF_AMPEL_COMPLETE,,
44217,SN 2019ozu,19:27:00.095,+47:56:05.43,SN Ia,0.08,,,"ZTF, ATLAS","ZTF, ATLAS",C-SNAILS,ATLAS; ZTF,ZTF19abtnftd,"ATLAS1 - ACAM1, P48 - ZTF-Cam",LT - SPRAT,1,1,,20.45,r-ZTF,2019-08-26 06:16:26.000,ZTF_AMPEL_NEW,,
44206,SN 2019ozj,22:01:00.577,+20:41:55.89,SN Ia,0.0898,SDSS J220100.46+204159.5,0.09,"ALeRCE, ATLAS, ZTF, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ALeRCE; ATLAS; Pan-STARRS1; ZTF,ZTF19abuonnx,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,20.3624,g-ZTF,2019-08-30 07:47:27.000,ALeRCE,,
44183,SN 2019oym,00:59:53.663,+02:54:32.51,SN Ia,0.065,,,ZTF,ZTF,ZTF,ZTF,ZTF19abrmlxu,P48 - ZTF-Cam,P60 - SEDM,1,1,,19,r-ZTF,2019-08-24 09:01:26.000,ZTF_Bot1,,
44100,SN 2019ovi,17:45:20.140,+44:24:31.93,SN Ia,0.048,SDSS J174520.28+442430.3,0.089,"ALeRCE, ATLAS, ZTF, Pan-STARRS1, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts",ZTF,ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ZTF19absfopz,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.2956,g-ZTF,2019-08-28 04:13:07.000,ALeRCE,,
44098,SN 2019ovg,14:58:26.810,+08:12:39.35,SN Ia,0.038,SDSS J145826.48+081230.6,0.035,"ALeRCE, ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ALeRCE; ATLAS; GaiaAlerts; ZTF,ZTF19abtuigb,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.3099,g-ZTF,2019-08-28 03:41:45.000,ALeRCE,,
44070,SN 2019ouf,04:36:20.198,-13:54:34.59,SN Ia,0.03529,2MFGC 03761,0.035294,"ALeRCE, ZTF, ATLAS","ZTF, ATLAS",ZTF,ALeRCE; ATLAS; ZTF,ZTF19abttstb,"ATLAS1 - ACAM1, P48 - ZTF-Cam",,1,1,,20.158,r-ZTF,2019-08-27 12:00:14.000,ALeRCE,,
44060,SN 2019otv,04:43:13.586,-15:33:40.07,SN Ia,0.037,,,ZTF,ZTF,ZTF,ZTF,ZTF19abttrte,P48 - ZTF-Cam,P60 - SEDM,1,1,,20.07,g-ZTF,2019-08-27 11:22:22.000,ZTF_AMPEL_NEW,,
44039,SN 2019ota,17:02:44.400,+55:59:16.99,SN Ia,0.138,,,ZTF,ZTF,None,ZTF,ZTF19abqsmns,P48 - ZTF-Cam,LT - SPRAT,1,1,,20.08,r-ZTF,2019-08-21 06:50:44.000,ZTF_AMPEL_COMPLETE,,
44032,SN 2019ost,21:00:38.777,-16:49:09.93,SN Ia,0.073,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","None, ZTF",ATLAS; Pan-STARRS1; ZTF,ZTF19abrsuah,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT, P60 - SEDM",1,1,,19.62,g-ZTF,2019-08-22 09:04:19.000,ZTF_Bot1,,
44026,SN 2019osn,23:44:34.843,+48:21:31.50,SN Ia,0.09,,,ZTF,ZTF,ZTF,ZTF,ZTF19abnagzk,P48 - ZTF-Cam,P60 - SEDM,1,1,,20.43,g-ZTF,2019-08-01 09:51:50.000,ZTF_Bot1,,
44025,SN 2019osm,00:07:16.341,+32:11:21.57,SN Ia,0.063,,,ZTF,ZTF,ZTF,ZTF,ZTF19abozuxh,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.56,r-ZTF,2019-08-11 09:43:12.000,ZTF_Bot1,,
43900,SN 2019ons,21:54:05.050,-16:09:34.27,SN Ia,0.037,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","None, ZTF",ATLAS; GaiaAlerts; ZTF,ZTF19abrsssx,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",Lick-3m - KAST,1,1,,18.86,r-ZTF,2019-08-25 08:54:10.000,ZTF_AMPEL_NEW,,
43897,SN 2019onp,21:00:02.863,-14:21:52.93,SN Ia,0.082,,,ZTF,ZTF,ZTF,ZTF,ZTF19abqjypm,P48 - ZTF-Cam,P60 - SEDM,1,1,,18.87,g-ZTF,2019-08-22 09:04:27.000,ZTF_AMPEL_COMPLETE,,
43886,SN 2019one,02:04:23.949,+03:11:12.53,SN Ia,0.063,,,"ZTF, Pan-STARRS1, ATLAS","ZTF, Pan-STARRS1, ATLAS",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19abpxcaf,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.98,r-ZTF,2019-08-14 09:34:33.000,ZTF_Bot1,,
43884,SN 2019onc,21:01:52.296,-13:45:04.00,SN Ia,0.1,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19abotfag,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",UH88 - SNIFS,1,1,,19.73,g-ZTF,2019-08-09 08:52:48.000,ZTF_Bot1,,
43883,SN 2019onb,05:42:33.060,+54:07:32.52,SN Ia,0.049,,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19abqgzea,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.68,r-ZTF,2019-08-15 10:13:26.000,ZTF_Bot1,,
43867,SN 2019oml,03:00:20.279,+18:44:37.00,SN Ia,0.033,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","None, ZTF",ATLAS; Pan-STARRS1; ZTF,ZTF19abqmpsr,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST, P60 - SEDM",1,1,,17.58,r-ZTF,2019-08-24 11:09:00.000,ZTF_AMPEL_NEW,,
43864,SN 2019omi,03:48:59.790,+00:55:36.91,SN Ia,0.0358,,,"ZTF, Pan-STARRS1, ATLAS, GaiaAlerts","ZTF, Pan-STARRS1, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ZTF19abrogbl,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,18.75,r-ZTF,2019-08-24 11:07:03.000,ZTF_AMPEL_NEW,,
43854,SN 2019oly,18:15:55.476,+27:36:30.37,SN Ia,0.084,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abpypvc,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.24,g-ZTF,2019-08-21 04:28:26.000,ZTF_AMPEL_NEW,,
43853,SN 2019olx,18:10:45.173,+11:05:19.39,SN Ia,0.076,,,"ZTF, ATLAS","ZTF, ATLAS",None,ATLAS; ZTF,ZTF19abpxttd,"ATLAS1 - ACAM1, P48 - ZTF-Cam",LT - SPRAT,1,1,,19.94,g-ZTF,2019-08-15 03:37:22.000,ZTF_AMPEL_NEW,,
43806,SN 2019okc,00:06:19.351,-08:15:06.60,SN Ia,0.112,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",None,ATLAS; Pan-STARRS1; ZTF,ZTF19abqqrib,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",LT - SPRAT,1,1,,19.08,g-ZTF,2019-08-20 12:05:04.000,ZTF_AMPEL_NEW,,
43805,SN 2019okb,00:25:44.699,+20:16:39.89,SN Ia,0.064,,,"ZTF, Pan-STARRS1, ATLAS","ZTF, Pan-STARRS1, ATLAS","None, SCAT, ZTF",ATLAS; Pan-STARRS1; ZTF,ZTF19abpzuzd,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT, P60 - SEDM, UH88 - SNIFS",1,1,,18.87,r-ZTF,2019-08-20 10:05:30.000,ZTF_AMPEL_COMPLETE,,
43799,SN 2019ojv,22:01:39.250,+06:19:03.66,SN Ia,0.05,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19abqqmui,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.4,r-ZTF,2019-08-20 08:47:18.000,ZTF_AMPEL_NEW,,
43686,SN 2019ofm,14:50:54.629,+27:34:57.42,SN Ia,0.03025,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abrdxbh,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P200 - DBSP,1,1,,20.43,g-ZTF,2019-08-20 03:44:40.000,ZTF_AMPEL_NEW,,
43662,SN 2019oeo,01:42:46.699,-05:20:19.88,SN Ia,0.065,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abpztlw,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.07,r-ZTF,2019-08-17 09:32:21.000,ZTF_AMPEL_COMPLETE,,
43634,SN 2019odm,22:31:36.022,-08:33:36.57,SN Ia,0.08,,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; ZTF,ZTF19abqgrht,"ATLAS1 - ACAM1, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,18.69,r-ZTF,2019-08-22 07:58:05.000,ZTF_AMPEL_NEW,,
43629,SN 2019odh,18:50:55.833,+39:23:56.33,SN Ia,0.053654,,,ZTF,ZTF,ZTF,ZTF,ZTF19abqsvgf,P48 - ZTF-Cam,P60 - SEDM,1,1,,20.1,g-ZTF,2019-08-21 04:11:46.000,ZTF_AMPEL_NEW,,
43626,SN 2019ode,22:42:10.759,-07:19:55.48,SN Ia,0.0788,,,ZTF,ZTF,ZTF,ZTF,ZTF19abqkpoi,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.1,g-ZTF,2019-08-19 11:26:28.000,ZTF_AMPEL_NEW,,
